n,seed,res64,err64,res32,err32,res_mixed,err_mixed
1024,15,2.0206153938167946e-11,2.7378267355685066e-12,37198.33329168993,1172.6063883812405,1.8329781402309063e+22,5.6285823700475504e+20
1024,16,1.752606659241101e-11,1.3369207769493357e-11,71417.67462484422,2247.7691918498235,7.054346327449061e+23,2.2217004619178535e+22
1024,17,1.6990591251710818e-11,7.880611720766425e-12,47491.26882113394,1432.7927087944163,1.1980973591736822e+19,3.6826158433396774e+17
1024,18,1.6347373417053937e-11,5.385840487727966e-12,18669.352088925025,568.2278248173529,1.0072030157491323e+24,3.093904581361795e+22
1024,19,1.608807064734735e-11,7.946828876263996e-12,78365.92876575595,2462.034433787729,3.8984775058469e+22,1.2123299003784437e+21
1024,20,1.635778036827406e-11,1.0443165927364347e-11,42539.33787600987,1331.0717688632294,5.499015736378628e+19,1.7234196583602025e+18
1024,21,1.996562538674457e-11,7.151451242274291e-12,30376.718005309096,954.794400557558,2.7992490960204554e+18,8.837008957792784e+16
1024,22,1.6784899285053296e-11,7.299082249786812e-12,45014.9475639902,1379.3155604445365,6.966724259045992e+18,2.166360729666279e+17
1024,23,1.5237805421823293e-11,3.4544721306811164e-12,16457.837630093887,537.2562384842655,8.467874636557756e+17,2.6554672093241596e+16
1024,24,2.017321808023458e-11,4.61505119658721e-11,206101.39128474926,6500.729054253416,5.082701104107837e+30,1.605946907681911e+29
1024,25,1.809472904477531e-11,5.0676479296801024e-12,54616.8202548968,1742.1941476288848,9.36188144289515e+22,2.987023297595391e+21
1024,26,1.595380783301195e-11,3.358357826245774e-12,13323.98325735643,416.24495322192314,5.932857176359314e+17,1.8577706247970996e+16
1024,27,2.07409798992454e-11,7.487701240680071e-12,32044.29883320842,988.0977192319074,3.012569297561655e+19,9.657853832451887e+17
1024,28,1.679355124697829e-11,5.636497486451389e-12,24877.390140060586,768.3872486713589,8.527480719462084e+17,2.724925396937963e+16
1024,29,1.9172217867102198e-11,1.4650405835953846e-11,73818.87583102514,2352.4191457760285,5.3583515840528e+21,1.7034535173005243e+20
