n,matrix,seed,residual,error
512,random,26,3.718257921478571e-12,3.1713007344859276e-12
512,random,27,4.13713784379418e-12,3.0415902027921682e-12
512,random,28,3.290680376197165e-12,6.022056219532573e-12
512,random,29,3.3332008929821626e-12,3.955878513212874e-12
512,random,30,3.655401281581177e-12,6.08944203033604e-12
512,random,31,3.597960055920682e-12,4.000165462257758e-12
512,random,32,3.983291333815243e-12,2.144725091864322e-12
512,random,33,4.046735945792384e-12,2.382333567731206e-12
512,random,34,3.888909888616791e-12,2.5467369759452093e-12
512,random,35,4.129378090300466e-12,1.2418129701118602e-12
512,random,36,4.15281476118434e-12,5.592444532835201e-12
512,random,37,4.5943480091784685e-12,1.3024111146451884e-12
512,random,38,4.551347128301537e-12,8.884738009295547e-13
512,random,39,3.4615927319454418e-12,1.6087049490026197e-12
512,random,40,4.1532156291666475e-12,9.125573831922605e-13
512,random,41,3.66709697546772e-12,2.4092116344354163e-12
512,random,42,4.232041740864491e-12,1.1910762837721679e-12
512,random,43,4.270045556344818e-12,1.5080257549227493e-12
512,random,44,4.141139026860069e-12,1.0448870934340256e-11
512,random,45,3.57955582885319e-12,7.921791378332661e-13
512,random,46,3.8854395804974575e-12,2.3006057995764527e-11
512,random,47,3.819358422929999e-12,2.275312267201415e-12
512,random,48,3.9853983941363746e-12,6.296321440540085e-13
512,random,49,3.5660153672565154e-12,3.9350113073130955e-12
1024,random,0,1.6204948081383234e-11,1.7887814074294697e-11
1024,random,1,1.6711542128289258e-11,7.747877049720948e-12
1024,random,2,1.6077770693214783e-11,6.000155998057559e-10
1024,random,3,1.6126437883168922e-11,4.785916958680513e-12
1024,random,4,1.8172033702133976e-11,3.177324208498731e-11
1024,random,5,1.9940634280556763e-11,8.799891952230441e-10
1024,random,6,1.9031383974582677e-11,1.0658520019327277e-11
1024,random,7,1.5329151254243556e-11,2.1087191049385447e-12
1024,random,8,1.562783642303356e-11,4.273707521501727e-12
1024,random,9,1.9204021025577003e-11,9.245807838149163e-12
1024,random,10,2.0723436605330003e-11,6.040776628092311e-12
1024,random,11,1.6461072437020684e-11,2.0076366567724844e-11
